# oleaut32.dll exports for 'Ordinals to Names' Hopper Script
# Ordinal        Name
imp_ordinal_2    imp_SysAllocString
imp_ordinal_3    imp_SysReAllocString
imp_ordinal_4    imp_SysAllocStringLen
imp_ordinal_5    imp_SysReAllocStringLen
imp_ordinal_6    imp_SysFreeString
imp_ordinal_7    imp_SysStringLen
imp_ordinal_8    imp_VariantInit
imp_ordinal_9    imp_VariantClear
imp_ordinal_10   imp_VariantCopy
imp_ordinal_11   imp_VariantCopyInd
imp_ordinal_12   imp_VariantChangeType
imp_ordinal_13   imp_VariantTimeToDosDateTime
imp_ordinal_14   imp_DosDateTimeToVariantTime
imp_ordinal_15   imp_SafeArrayCreate
imp_ordinal_16   imp_SafeArrayDestroy
imp_ordinal_17   imp_SafeArrayGetDim
imp_ordinal_18   imp_SafeArrayGetElemsize
imp_ordinal_19   imp_SafeArrayGetUBound
imp_ordinal_20   imp_SafeArrayGetLBound
imp_ordinal_21   imp_SafeArrayLock
imp_ordinal_22   imp_SafeArrayUnlock
imp_ordinal_23   imp_SafeArrayAccessData
imp_ordinal_24   imp_SafeArrayUnaccessData
imp_ordinal_25   imp_SafeArrayGetElement
imp_ordinal_26   imp_SafeArrayPutElement
imp_ordinal_27   imp_SafeArrayCopy
imp_ordinal_28   imp_DispGetParam
imp_ordinal_29   imp_DispGetIDsOfNames
imp_ordinal_30   imp_DispInvoke
imp_ordinal_31   imp_CreateDispTypeInfo
imp_ordinal_32   imp_CreateStdDispatch
imp_ordinal_33   imp_RegisterActiveObject
imp_ordinal_34   imp_RevokeActiveObject
imp_ordinal_35   imp_GetActiveObject
imp_ordinal_36   imp_SafeArrayAllocDescriptor
imp_ordinal_37   imp_SafeArrayAllocData
imp_ordinal_38   imp_SafeArrayDestroyDescriptor
imp_ordinal_39   imp_SafeArrayDestroyData
imp_ordinal_40   imp_SafeArrayRedim
imp_ordinal_41   imp_SafeArrayAllocDescriptorEx
imp_ordinal_42   imp_SafeArrayCreateEx
imp_ordinal_43   imp_SafeArrayCreateVectorEx
imp_ordinal_44   imp_SafeArraySetRecordInfo
imp_ordinal_45   imp_SafeArrayGetRecordInfo
imp_ordinal_46   imp_VarParseNumFromStr
imp_ordinal_47   imp_VarNumFromParseNum
imp_ordinal_48   imp_VarI2FromUI1
imp_ordinal_49   imp_VarI2FromI4
imp_ordinal_50   imp_VarI2FromR4
imp_ordinal_51   imp_VarI2FromR8
imp_ordinal_52   imp_VarI2FromCy
imp_ordinal_53   imp_VarI2FromDate
imp_ordinal_54   imp_VarI2FromStr
imp_ordinal_55   imp_VarI2FromDisp
imp_ordinal_56   imp_VarI2FromBool
imp_ordinal_57   imp_SafeArraySetIID
imp_ordinal_58   imp_VarI4FromUI1
imp_ordinal_59   imp_VarI4FromI2
imp_ordinal_60   imp_VarI4FromR4
imp_ordinal_61   imp_VarI4FromR8
imp_ordinal_62   imp_VarI4FromCy
imp_ordinal_63   imp_VarI4FromDate
imp_ordinal_64   imp_VarI4FromStr
imp_ordinal_65   imp_VarI4FromDisp
imp_ordinal_66   imp_VarI4FromBool
imp_ordinal_67   imp_SafeArrayGetIID
imp_ordinal_68   imp_VarR4FromUI1
imp_ordinal_69   imp_VarR4FromI2
imp_ordinal_70   imp_VarR4FromI4
imp_ordinal_71   imp_VarR4FromR8
imp_ordinal_72   imp_VarR4FromCy
imp_ordinal_73   imp_VarR4FromDate
imp_ordinal_74   imp_VarR4FromStr
imp_ordinal_75   imp_VarR4FromDisp
imp_ordinal_76   imp_VarR4FromBool
imp_ordinal_77   imp_SafeArrayGetVartype
imp_ordinal_78   imp_VarR8FromUI1
imp_ordinal_79   imp_VarR8FromI2
imp_ordinal_80   imp_VarR8FromI4
imp_ordinal_81   imp_VarR8FromR4
imp_ordinal_82   imp_VarR8FromCy
imp_ordinal_83   imp_VarR8FromDate
imp_ordinal_84   imp_VarR8FromStr
imp_ordinal_85   imp_VarR8FromDisp
imp_ordinal_86   imp_VarR8FromBool
imp_ordinal_87   imp_VarFormat
imp_ordinal_88   imp_VarDateFromUI1
imp_ordinal_89   imp_VarDateFromI2
imp_ordinal_90   imp_VarDateFromI4
imp_ordinal_91   imp_VarDateFromR4
imp_ordinal_92   imp_VarDateFromR8
imp_ordinal_93   imp_VarDateFromCy
imp_ordinal_94   imp_VarDateFromStr
imp_ordinal_95   imp_VarDateFromDisp
imp_ordinal_96   imp_VarDateFromBool
imp_ordinal_97   imp_VarFormatDateTime
imp_ordinal_98   imp_VarCyFromUI1
imp_ordinal_99   imp_VarCyFromI2
imp_ordinal_100  imp_VarCyFromI4
imp_ordinal_101  imp_VarCyFromR4
imp_ordinal_102  imp_VarCyFromR8
imp_ordinal_103  imp_VarCyFromDate
imp_ordinal_104  imp_VarCyFromStr
imp_ordinal_105  imp_VarCyFromDisp
imp_ordinal_106  imp_VarCyFromBool
imp_ordinal_107  imp_VarFormatNumber
imp_ordinal_108  imp_VarBstrFromUI1
imp_ordinal_109  imp_VarBstrFromI2
imp_ordinal_110  imp_VarBstrFromI4
imp_ordinal_111  imp_VarBstrFromR4
imp_ordinal_112  imp_VarBstrFromR8
imp_ordinal_113  imp_VarBstrFromCy
imp_ordinal_114  imp_VarBstrFromDate
imp_ordinal_115  imp_VarBstrFromDisp
imp_ordinal_116  imp_VarBstrFromBool
imp_ordinal_117  imp_VarFormatPercent
imp_ordinal_118  imp_VarBoolFromUI1
imp_ordinal_119  imp_VarBoolFromI2
imp_ordinal_120  imp_VarBoolFromI4
imp_ordinal_121  imp_VarBoolFromR4
imp_ordinal_122  imp_VarBoolFromR8
imp_ordinal_123  imp_VarBoolFromDate
imp_ordinal_124  imp_VarBoolFromCy
imp_ordinal_125  imp_VarBoolFromStr
imp_ordinal_126  imp_VarBoolFromDisp
imp_ordinal_127  imp_VarFormatCurrency
imp_ordinal_128  imp_VarWeekdayName
imp_ordinal_129  imp_VarMonthName
imp_ordinal_130  imp_VarUI1FromI2
imp_ordinal_131  imp_VarUI1FromI4
imp_ordinal_132  imp_VarUI1FromR4
imp_ordinal_133  imp_VarUI1FromR8
imp_ordinal_134  imp_VarUI1FromCy
imp_ordinal_135  imp_VarUI1FromDate
imp_ordinal_136  imp_VarUI1FromStr
imp_ordinal_137  imp_VarUI1FromDisp
imp_ordinal_138  imp_VarUI1FromBool
imp_ordinal_139  imp_VarFormatFromTokens
imp_ordinal_140  imp_VarTokenizeFormatString
imp_ordinal_141  imp_VarAdd
imp_ordinal_142  imp_VarAnd
imp_ordinal_143  imp_VarDiv
imp_ordinal_144  imp_BSTR_UserFree64
imp_ordinal_145  imp_BSTR_UserMarshal64
imp_ordinal_146  imp_DispCallFunc
imp_ordinal_147  imp_VariantChangeTypeEx
imp_ordinal_148  imp_SafeArrayPtrOfIndex
imp_ordinal_149  imp_SysStringByteLen
imp_ordinal_150  imp_SysAllocStringByteLen
imp_ordinal_151  imp_BSTR_UserSize64
imp_ordinal_152  imp_VarEqv
imp_ordinal_153  imp_VarIdiv
imp_ordinal_154  imp_VarImp
imp_ordinal_155  imp_VarMod
imp_ordinal_156  imp_VarMul
imp_ordinal_157  imp_VarOr
imp_ordinal_158  imp_VarPow
imp_ordinal_159  imp_VarSub
imp_ordinal_160  imp_CreateTypeLib
imp_ordinal_161  imp_LoadTypeLib
imp_ordinal_162  imp_LoadRegTypeLib
imp_ordinal_163  imp_RegisterTypeLib
imp_ordinal_164  imp_QueryPathOfRegTypeLib
imp_ordinal_165  imp_LHashValOfNameSys
imp_ordinal_166  imp_LHashValOfNameSysA
imp_ordinal_167  imp_VarXor
imp_ordinal_168  imp_VarAbs
imp_ordinal_169  imp_VarFix
imp_ordinal_170  imp_OaBuildVersion
imp_ordinal_171  imp_ClearCustData
imp_ordinal_172  imp_VarInt
imp_ordinal_173  imp_VarNeg
imp_ordinal_174  imp_VarNot
imp_ordinal_175  imp_VarRound
imp_ordinal_176  imp_VarCmp
imp_ordinal_177  imp_VarDecAdd
imp_ordinal_178  imp_VarDecDiv
imp_ordinal_179  imp_VarDecMul
imp_ordinal_180  imp_CreateTypeLib2
imp_ordinal_181  imp_VarDecSub
imp_ordinal_182  imp_VarDecAbs
imp_ordinal_183  imp_LoadTypeLibEx
imp_ordinal_184  imp_SystemTimeToVariantTime
imp_ordinal_185  imp_VariantTimeToSystemTime
imp_ordinal_186  imp_UnRegisterTypeLib
imp_ordinal_187  imp_VarDecFix
imp_ordinal_188  imp_VarDecInt
imp_ordinal_189  imp_VarDecNeg
imp_ordinal_190  imp_VarDecFromUI1
imp_ordinal_191  imp_VarDecFromI2
imp_ordinal_192  imp_VarDecFromI4
imp_ordinal_193  imp_VarDecFromR4
imp_ordinal_194  imp_VarDecFromR8
imp_ordinal_195  imp_VarDecFromDate
imp_ordinal_196  imp_VarDecFromCy
imp_ordinal_197  imp_VarDecFromStr
imp_ordinal_198  imp_VarDecFromDisp
