# ws2_32.dll exports for 'Ordinals to Names' Hopper Script
# Ordinal        Name
imp_ordinal_1    imp_accept
imp_ordinal_2    imp_bind
imp_ordinal_3    imp_closesocket
imp_ordinal_4    imp_connect
imp_ordinal_5    imp_getpeername
imp_ordinal_6    imp_getsockname
imp_ordinal_7    imp_getsockopt
imp_ordinal_8    imp_htonl
imp_ordinal_9    imp_htons
imp_ordinal_10   imp_ioctlsocket
imp_ordinal_11   imp_inet_addr
imp_ordinal_12   imp_inet_ntoa
imp_ordinal_13   imp_listen
imp_ordinal_14   imp_ntohl
imp_ordinal_15   imp_ntohs
imp_ordinal_16   imp_recv
imp_ordinal_17   imp_recvfrom
imp_ordinal_18   imp_select
imp_ordinal_19   imp_send
imp_ordinal_20   imp_sendto
imp_ordinal_21   imp_setsockopt
imp_ordinal_22   imp_shutdown
imp_ordinal_23   imp_socket
imp_ordinal_24   imp_WSApSetPostRoutine
imp_ordinal_25   imp_FreeAddrInfoEx
imp_ordinal_26   imp_FreeAddrInfoExW
imp_ordinal_27   imp_FreeAddrInfoW
imp_ordinal_28   imp_GetAddrInfoExA
imp_ordinal_29   imp_GetAddrInfoExW
imp_ordinal_30   imp_GetAddrInfoW
imp_ordinal_31   imp_GetNameInfoW
imp_ordinal_32   imp_InetNtopW
imp_ordinal_33   imp_InetPtonW
imp_ordinal_34   imp_SetAddrInfoExA
imp_ordinal_35   imp_SetAddrInfoExW
imp_ordinal_36   imp_WPUCompleteOverlappedRequest
imp_ordinal_37   imp_WSAAccept
imp_ordinal_38   imp_WSAAddressToStringA
imp_ordinal_39   imp_WSAAddressToStringW
imp_ordinal_40   imp_WSAAdvertiseProvider
imp_ordinal_41   imp_WSACloseEvent
imp_ordinal_42   imp_WSAConnect
imp_ordinal_43   imp_WSAConnectByList
imp_ordinal_44   imp_WSAConnectByNameA
imp_ordinal_45   imp_WSAConnectByNameW
imp_ordinal_46   imp_WSACreateEvent
imp_ordinal_47   imp_WSADuplicateSocketA
imp_ordinal_48   imp_WSADuplicateSocketW
imp_ordinal_49   imp_WSAEnumNameSpaceProvidersA
imp_ordinal_50   imp_WSAEnumNameSpaceProvidersExA
imp_ordinal_51   imp_gethostbyaddr
imp_ordinal_52   imp_gethostbyname
imp_ordinal_53   imp_getprotobyname
imp_ordinal_54   imp_getprotobynumber
imp_ordinal_55   imp_getservbyname
imp_ordinal_56   imp_getservbyport
imp_ordinal_57   imp_gethostname
imp_ordinal_58   imp_WSAEnumNameSpaceProvidersExW
imp_ordinal_59   imp_WSAEnumNameSpaceProvidersW
imp_ordinal_60   imp_WSAEnumNetworkEvents
imp_ordinal_61   imp_WSAEnumProtocolsA
imp_ordinal_62   imp_WSAEnumProtocolsW
imp_ordinal_63   imp_WSAEventSelect
imp_ordinal_64   imp_WSAGetOverlappedResult
imp_ordinal_65   imp_WSAGetQOSByName
imp_ordinal_66   imp_WSAGetServiceClassInfoA
imp_ordinal_67   imp_WSAGetServiceClassInfoW
imp_ordinal_68   imp_WSAGetServiceClassNameByClassIdA
imp_ordinal_69   imp_WSAGetServiceClassNameByClassIdW
imp_ordinal_70   imp_WSAHtonl
imp_ordinal_71   imp_WSAHtons
imp_ordinal_72   imp_WSAInstallServiceClassA
imp_ordinal_73   imp_WSAInstallServiceClassW
imp_ordinal_74   imp_WSAIoctl
imp_ordinal_75   imp_WSAJoinLeaf
imp_ordinal_76   imp_WSALookupServiceBeginA
imp_ordinal_77   imp_WSALookupServiceBeginW
imp_ordinal_78   imp_WSALookupServiceEnd
imp_ordinal_79   imp_WSALookupServiceNextA
imp_ordinal_80   imp_WSALookupServiceNextW
imp_ordinal_81   imp_WSANSPIoctl
imp_ordinal_82   imp_WSANtohl
imp_ordinal_83   imp_WSANtohs
imp_ordinal_84   imp_WSAPoll
imp_ordinal_85   imp_WSAProviderCompleteAsyncCall
imp_ordinal_86   imp_WSAProviderConfigChange
imp_ordinal_87   imp_WSARecv
imp_ordinal_88   imp_WSARecvDisconnect
imp_ordinal_89   imp_WSARecvFrom
imp_ordinal_90   imp_WSARemoveServiceClass
imp_ordinal_91   imp_WSAResetEvent
imp_ordinal_92   imp_WSASend
imp_ordinal_93   imp_WSASendDisconnect
imp_ordinal_94   imp_WSASendMsg
imp_ordinal_95   imp_WSASendTo
imp_ordinal_96   imp_WSASetEvent
imp_ordinal_97   imp_WSASetServiceA
imp_ordinal_98   imp_WSASetServiceW
imp_ordinal_99   imp_WSASocketA
imp_ordinal_100  imp_WSASocketW
imp_ordinal_101  imp_WSAAsyncSelect
imp_ordinal_102  imp_WSAAsyncGetHostByAddr
imp_ordinal_103  imp_WSAAsyncGetHostByName
imp_ordinal_104  imp_WSAAsyncGetProtoByNumber
imp_ordinal_105  imp_WSAAsyncGetProtoByName
imp_ordinal_106  imp_WSAAsyncGetServByPort
imp_ordinal_107  imp_WSAAsyncGetServByName
imp_ordinal_108  imp_WSACancelAsyncRequest
imp_ordinal_109  imp_WSASetBlockingHook
imp_ordinal_110  imp_WSAUnhookBlockingHook
imp_ordinal_111  imp_WSAGetLastError
imp_ordinal_112  imp_WSASetLastError
imp_ordinal_113  imp_WSACancelBlockingCall
