# wsock32.dll exports for 'Ordinals to Names' Hopper Script
# Ordinal        Name
imp_ordinal_1    imp_accept
imp_ordinal_2    imp_bind
imp_ordinal_3    imp_closesocket
imp_ordinal_4    imp_connect
imp_ordinal_5    imp_getpeername
imp_ordinal_6    imp_getsockname
imp_ordinal_7    imp_getsockopt
imp_ordinal_8    imp_htonl
imp_ordinal_9    imp_htons
imp_ordinal_10   imp_inet_addr
imp_ordinal_11   imp_inet_ntoa
imp_ordinal_12   imp_ioctlsocket
imp_ordinal_13   imp_listen
imp_ordinal_14   imp_ntohl
imp_ordinal_15   imp_ntohs
imp_ordinal_16   imp_recv
imp_ordinal_17   imp_recvfrom
imp_ordinal_18   imp_select
imp_ordinal_19   imp_send
imp_ordinal_20   imp_sendto
imp_ordinal_21   imp_setsockopt
imp_ordinal_22   imp_shutdown
imp_ordinal_23   imp_socket
imp_ordinal_24   imp_MigrateWinsockConfiguration
imp_ordinal_51   imp_gethostbyaddr
imp_ordinal_52   imp_gethostbyname
imp_ordinal_53   imp_getprotobyname
imp_ordinal_54   imp_getprotobynumber
imp_ordinal_55   imp_getservbyname
imp_ordinal_56   imp_getservbyport
imp_ordinal_57   imp_gethostname
imp_ordinal_101  imp_WSAAsyncSelect
imp_ordinal_102  imp_WSAAsyncGetHostByAddr
imp_ordinal_103  imp_WSAAsyncGetHostByName
imp_ordinal_104  imp_WSAAsyncGetProtoByNumber
imp_ordinal_105  imp_WSAAsyncGetProtoByName
imp_ordinal_106  imp_WSAAsyncGetServByPort
imp_ordinal_107  imp_WSAAsyncGetServByName
imp_ordinal_108  imp_WSACancelAsyncRequest
imp_ordinal_109  imp_WSASetBlockingHook
imp_ordinal_110  imp_WSAUnhookBlockingHook
imp_ordinal_111  imp_WSAGetLastError
imp_ordinal_112  imp_WSASetLastError
imp_ordinal_113  imp_WSACancelBlockingCall
imp_ordinal_114  imp_WSAIsBlocking
imp_ordinal_115  imp_WSAStartup
imp_ordinal_116  imp_WSACleanup
imp_ordinal_151  imp___WSAFDIsSet
imp_ordinal_500  imp_WEP
imp_ordinal_1000 imp_WSApSetPostRoutine
imp_ordinal_1100 imp_inet_network
imp_ordinal_1101 imp_getnetbyname
imp_ordinal_1102 imp_rcmd
imp_ordinal_1103 imp_rexec
imp_ordinal_1104 imp_rresvport
imp_ordinal_1105 imp_sethostname
imp_ordinal_1106 imp_dn_expand
imp_ordinal_1107 imp_WSARecvEx
imp_ordinal_1108 imp_s_perror
imp_ordinal_1109 imp_GetAddressByNameA
imp_ordinal_1110 imp_GetAddressByNameW
imp_ordinal_1111 imp_EnumProtocolsA
imp_ordinal_1112 imp_EnumProtocolsW
imp_ordinal_1113 imp_GetTypeByNameA
imp_ordinal_1114 imp_GetTypeByNameW
imp_ordinal_1115 imp_GetNameByTypeA
imp_ordinal_1116 imp_GetNameByTypeW
imp_ordinal_1117 imp_SetServiceA
imp_ordinal_1118 imp_SetServiceW
imp_ordinal_1119 imp_GetServiceA
imp_ordinal_1120 imp_GetServiceW
imp_ordinal_1130 imp_NPLoadNameSpaces
imp_ordinal_1140 imp_TransmitFile
imp_ordinal_1141 imp_AcceptEx
imp_ordinal_1142 imp_GetAcceptExSockaddrs
